,PC1,PC2,cluster,label,cluster_name
0,4.176609783292503,0.0033065890947756352,3,fruity,Fruity & Floral
1,4.421460849895385,0.11333533834782124,3,green,Fruity & Floral
2,4.699379279221685,0.21827780260683824,3,sweet,Fruity & Floral
3,4.67380723687171,-0.027196295046311575,3,floral,Fruity & Floral
4,4.254501248188827,-0.9687290866647339,3,woody,Fruity & Floral
5,4.881886867516815,-0.5697917829211778,3,herbal,Fruity & Floral
6,4.1267660641251664,1.4495928297914265,6,fatty,Fruity & Tropical
7,5.23954744570277,-0.10798071880726494,3,fresh,Fruity & Floral
8,4.897596096610075,0.7727849614953707,6,waxy,Fruity & Tropical
9,4.714109245556556,-1.031568272793252,3,spicy,Fruity & Floral
10,4.749583377537789,-0.4121408527437568,3,citrus,Fruity & Floral
11,4.2106770918047065,-0.8441071661464248,3,rose,Fruity & Floral
12,-1.3398523743920903,2.637453521346717,9,sulfurous,Roasted & Sulfurous
13,4.275160827346288,0.7512441669270813,6,earthy,Fruity & Tropical
14,1.032133563328346,1.8928653395471462,0,nutty,Nutty & Dairy
15,5.1860849964310205,1.194761579246305,6,tropical,Fruity & Tropical
16,-6.362239772742142,-0.7890850398501147,7,odorless,Odorless & Sulfurous
17,4.346136851608292,-1.6423837678015538,3,balsamic,Fruity & Floral
18,4.8551938150816065,1.1138856656306313,6,oily,Fruity & Tropical
19,3.143908859939052,-1.0633126086919327,8,minty,Minty & Floral
20,3.3290095730027196,2.4212291997960596,6,vegetable,Fruity & Tropical
21,3.9273732105965444,-1.304540445190633,3,powdery,Fruity & Floral
22,3.2925315266845954,1.6307466021746846,6,musty,Fruity & Tropical
23,-2.490791142899955,2.5901959713122866,9,meaty,Roasted & Sulfurous
24,2.8556531613609857,0.7803893704354824,6,creamy,Fruity & Tropical
25,3.8629052158553714,1.5511800808196459,6,pineapple,Fruity & Tropical
26,4.405818538599654,1.4301549402798166,6,apple,Fruity & Tropical
27,3.55901203722631,0.08160553726967285,3,aldehydic,Fruity & Floral
28,-3.494499183680006,2.39891964127706,9,roasted,Roasted & Sulfurous
29,3.6935179655005665,1.7133140827534044,6,ethereal,Fruity & Tropical
30,2.360876849839693,-1.098020226802736,8,phenolic,Minty & Floral
31,2.2215404703179686,0.8951389683712329,0,caramellic,Nutty & Dairy
32,3.113329614378236,-1.5102910468937567,8,dry,Minty & Floral
33,4.591830922787377,0.1786734397339114,3,berry,Fruity & Floral
34,4.386600332441233,1.582963038870135,6,metallic,Fruity & Tropical
35,3.7823732164525308,-0.8106264124190847,3,honey,Fruity & Floral
36,3.502106280928183,2.114888597259491,6,pungent,Fruity & Tropical
37,0.7520023443622423,-2.321799190848783,4,camphoreous,Camphoraceous & Medicinal
38,4.065514432528988,0.4912345849051531,3,leafy,Fruity & Floral
39,-3.202928593159251,2.1790865288223324,9,onion,Roasted & Sulfurous
40,2.316218883958176,-0.9144614624737233,8,animal,Minty & Floral
41,4.456104897653287,-0.4267305034645128,3,jasmin,Fruity & Floral
42,3.825713989399876,-0.7496793245958244,3,clean,Fruity & Floral
43,4.017344947156045,1.2968228509267146,6,winey,Fruity & Tropical
44,4.20026453025773,1.62477869678404,6,pear,Fruity & Tropical
45,-6.36550787918004,-0.7986306125210267,7,bland,Odorless & Sulfurous
46,0.8399757206654899,-1.6961078420038427,4,musk,Camphoraceous & Medicinal
47,2.241834102586829,0.4740743390250361,0,coconut,Nutty & Dairy
48,4.267950393327971,1.2116894475586657,6,melon,Fruity & Tropical
49,0.8122660364493065,-2.301503600063504,4,amber,Camphoraceous & Medicinal
50,2.7599613100520743,2.3276408338363894,6,cheesy,Fruity & Tropical
51,3.909537323648353,1.4264290728841207,6,banana,Fruity & Tropical
52,2.825167245807614,1.786430953952908,6,mushroom,Fruity & Tropical
53,-2.266229125808742,2.4638912740865737,9,coffee,Roasted & Sulfurous
54,1.824264488668376,-1.392989940218649,8,cooling,Minty & Floral
55,2.013104392964604,1.5503872610366913,0,buttery,Nutty & Dairy
56,-4.186145047891832,2.0328546135873546,1,garlic,Savory & Meaty
57,1.149555629551997,-2.3837200468073156,4,pine,Camphoraceous & Medicinal
58,1.1749753020933544,-1.1683507900832835,4,vanilla,Camphoraceous & Medicinal
59,-3.522095324136224,2.3459028400223283,9,alliaceous,Roasted & Sulfurous
60,-0.9652700409899223,-0.2787287947241537,5,mild,Burnt & Earthy
61,3.74647151261514,1.2795139280044523,6,peach,Fruity & Tropical
62,5.099760793186839,-0.35015825939144285,3,natural,Fruity & Floral
63,1.4964172191550995,1.7357113242593263,0,dairy,Nutty & Dairy
64,-0.6767068516899067,1.696841172293244,5,burnt,Burnt & Earthy
65,3.1574742114709915,-1.6343981611223484,8,tobacco,Minty & Floral
66,3.59292904509676,0.08728118640690881,3,cherry,Fruity & Floral
67,1.223470539258468,1.2403915319082381,0,cocoa,Nutty & Dairy
68,3.6154243165952202,-1.6770592243770146,3,warm,Fruity & Floral
69,3.8432490958290266,0.8980927540349273,6,apricot,Fruity & Tropical
70,3.7441460507390283,0.06238584535174142,3,orange,Fruity & Floral
71,3.545109180948732,0.44591115714162227,3,cortex,Fruity & Floral
72,4.181134080781058,-0.9793889582082217,3,violet,Fruity & Floral
73,3.4359084325813827,1.1600530818359898,6,rummy,Fruity & Tropical
74,-2.166119467607761,2.6356136421056187,9,savory,Roasted & Sulfurous
75,1.5082509358154506,0.8664266120871968,0,milky,Nutty & Dairy
76,3.7268577687487467,-0.27415645730465826,3,hyacinth,Fruity & Floral
77,3.432867989880208,-0.4836662711530342,3,geranium,Fruity & Floral
